"UF";"Estado";"Indicador";"Ano";"Quadrimestre";"Equipe";"Numerador";"Denominador_Informado";"Denominador_Estimado";"Indicador_calculado";"Tempo";"REGIAO"
"MS";"MATO GROSSO DO SUL";3;2020;"Q1";"todas";"2202";"6495";"11134";"0.2";"2020Q1";"Centro-Oeste"
"MT";"MATO GROSSO";3;2020;"Q1";"todas";"1994";"10019";"11448";"0.17";"2020Q1";"Centro-Oeste"
"PA";"PARÁ";3;2020;"Q1";"todas";"4010";"23261";"30244";"0.13";"2020Q1";"Norte"
"PB";"PARAÍBA";3;2020;"Q1";"todas";"4393";"12014";"15177";"0.29";"2020Q1";"Nordeste"
"PE";"PERNAMBUCO";3;2020;"Q1";"todas";"7881";"23530";"31866";"0.25";"2020Q1";"Nordeste"
"PI";"PIAUÍ";3;2020;"Q1";"todas";"3489";"10455";"13350";"0.26";"2020Q1";"Nordeste"
"PR";"PARANÁ";3;2020;"Q1";"todas";"10606";"26977";"36007";"0.29";"2020Q1";"Sul"
"RJ";"RIO DE JANEIRO";3;2020;"Q1";"todas";"5419";"20693";"44316";"0.12";"2020Q1";"Sudeste"
"RN";"RIO GRANDE DO NORTE";3;2020;"Q1";"todas";"2527";"8466";"11024";"0.23";"2020Q1";"Nordeste"
"RO";"RONDÔNIA";3;2020;"Q1";"todas";"501";"5648";"6256";"0.08";"2020Q1";"Norte"
"RR";"RORAIMA";3;2020;"Q1";"todas";"490";"2959";"2508";"0.17";"2020Q1";"Norte"
"RS";"RIO GRANDE DO SUL";3;2020;"Q1";"todas";"4353";"16940";"29356";"0.15";"2020Q1";"Sul"
"SC";"SANTA CATARINA";3;2020;"Q1";"todas";"5247";"17431";"24756";"0.21";"2020Q1";"Sul"
"SE";"SERGIPE";3;2020;"Q1";"todas";"1687";"6287";"8503";"0.2";"2020Q1";"Nordeste"
"SP";"SÃO PAULO";3;2020;"Q1";"todas";"18494";"61817";"97794";"0.19";"2020Q1";"Sudeste"
"TO";"TOCANTINS";3;2020;"Q1";"todas";"1420";"5094";"6561";"0.22";"2020Q1";"Norte"
"AC";"ACRE";3;2020;"Q2";"todas";"354";"3061";"3579";"0.1";"2020Q2";"Norte"
"AL";"ALAGOAS";3;2020;"Q2";"todas";"3588";"9575";"10900";"0.33";"2020Q2";"Nordeste"
"AM";"AMAZONAS";3;2020;"Q2";"todas";"3701";"14136";"14369";"0.26";"2020Q2";"Norte"
"AP";"AMAPÁ";3;2020;"Q2";"todas";"326";"1818";"2919";"0.11";"2020Q2";"Norte"
"BA";"BAHIA";3;2020;"Q2";"todas";"8502";"36631";"45725";"0.19";"2020Q2";"Nordeste"
"CE";"CEARÁ";3;2020;"Q2";"todas";"8832";"28719";"32880";"0.27";"2020Q2";"Nordeste"
"DF";"DISTRITO FEDERAL";3;2020;"Q2";"todas";"874";"6267";"8521";"0.1";"2020Q2";"Centro-Oeste"
"ES";"ESPÍRITO SANTO";3;2020;"Q2";"todas";"1381";"5519";"11260";"0.12";"2020Q2";"Sudeste"
"GO";"GOIÁS";3;2020;"Q2";"todas";"2184";"11629";"20656";"0.11";"2020Q2";"Centro-Oeste"
"MA";"MARANHÃO";3;2020;"Q2";"todas";"3966";"21661";"28306";"0.14";"2020Q2";"Nordeste"
"MG";"MINAS GERAIS";3;2020;"Q2";"todas";"10823";"38739";"62294";"0.17";"2020Q2";"Sudeste"
"MS";"MATO GROSSO DO SUL";3;2020;"Q2";"todas";"2278";"6828";"10100";"0.23";"2020Q2";"Centro-Oeste"
"MT";"MATO GROSSO";3;2020;"Q2";"todas";"2065";"10144";"10946";"0.19";"2020Q2";"Centro-Oeste"
"PA";"PARÁ";3;2020;"Q2";"todas";"3843";"22963";"24890";"0.15";"2020Q2";"Norte"
"PB";"PARAÍBA";3;2020;"Q2";"todas";"4421";"12279";"15141";"0.29";"2020Q2";"Nordeste"
